"Tdiff","Tpdiff","Trho","Tprho","Tcause","Mdiff","Mpdiff","Mrho","Mprho","Mcause","xstr"
-6.22841805876257e-05,0.119794922291275,0.761527310780992,5.45080894782934e-22,0,-9.80862279042883e-05,0.010427392687581,0.712543009702654,1.33424459173895e-22,1,0.456145571311936
-0.000125690799455383,0.0669933300471349,0.640258120781386,6.75186739345525e-21,0,-4.73186218618456e-05,0.0853144289709645,0.543786839935255,1.84284643963123e-19,0,0.747876195935532
-8.65060755891472e-05,0.00752060152122884,0.733818097059374,1.68380660413461e-21,1,-4.0396592056492e-05,0.460500008423524,0.756194390959164,9.2579036524045e-22,0,0.619694843655452
-1.6502760256895e-05,0.462235033605124,0.231476620919772,1.83438391472658e-07,0,-0.000114286991391007,0.0987728456406103,0.398820973283408,1.61344711099869e-13,0,0.0364192319102585
-0.000119033678083678,0.0790213510994691,0.830397260476512,5.86545626857803e-23,0,-6.93699599439416e-05,0.095385978664437,0.717246869197805,6.29002403776042e-22,0,0.223983281059191
-7.69022249658356e-05,0.0085148637436638,0.429274282129869,2.97710199384667e-17,1,-0.000167710330842759,0.10828940241128,0.551038927578316,3.44998926603149e-20,0,0.12739072763361
-9.10683194836569e-05,0.0126767498896233,0.724524153753951,2.17171326794993e-21,1,-0.000134296854200047,0.0603416392703076,0.785854915974331,5.85059632303444e-23,0,0.214582647429779
-6.94879193893012e-05,0.0683021008225959,0.88312356668531,1.4195358278156e-12,0,-9.51537298921279e-05,0.134571394670245,0.697779991775572,2.59724114865978e-21,0,0.412121245171875
-9.34836556210885e-05,0.0849330870364072,0.416721121242697,6.05907161367039e-13,0,-0.000129545284593136,0.0438222389824551,0.525083440125477,3.94429754252513e-20,1,0.732188651803881
-6.98222756196623e-05,0.0158349775723504,0.406159460439409,1.93250820343397e-14,1,-0.000145208921755859,0.0254802751595764,0.516181623415616,2.18931945320855e-19,1,0.191635512979701
-0.000244253047336365,0.0545366072215746,0.870317489851299,1.88376961287947e-22,0,-9.76133867566846e-05,0.00530490069016854,0.761200424467887,2.42846709960278e-22,1,0.920552312396467
-3.97141051417385e-05,0.248748547412154,0.610256193778072,3.64351556046162e-19,0,-6.29131671218278e-05,0.000390234581220735,0.711547508406973,1.04554117591171e-21,1,0.920883650192991
-4.62732877126568e-05,0.0631132982526783,0.711459257843789,1.51125097119865e-21,0,-0.00010575609400872,0.00609672908892597,0.775373643373784,9.55427419132436e-23,1,0.780961650656536
-5.50704179128406e-05,0.0142659728811563,0.5125823927381,6.08269585711489e-20,1,-1.43874052657436e-05,0.579344917841224,0.413599165941107,1.30953741351664e-17,0,0.367123834090307
-7.09571885753286e-05,0.130972873535332,0.446598239977304,6.69077071197442e-18,0,-0.00014985963306181,0.0222086849714968,0.566479299630101,3.90993641488236e-21,1,0.107406208757311
4.87201655461201e-06,0.862371318475654,0.588586737359741,1.9242364261271e-19,0,-2.18727588697219e-05,0.429062558576942,0.511724057239975,2.6630678133769e-18,0,0.711369295837358
-0.000150699438045258,0.0364037449686095,0.863855621804027,3.28318762374091e-23,1,-0.000119335968489531,0.0420230562253769,0.878218229117332,3.62210467828231e-23,1,0.464641531696543
-0.000125809461907077,0.0249919569248352,0.69785733518289,6.47018150001039e-22,1,-8.230152778014e-05,0.020980032338778,0.337126468902026,4.76135368722089e-11,1,0.530534072080627
-0.00010820563684246,0.0240436719930793,0.762803360091707,1.25315534782323e-22,1,-0.000202736640187214,0.0505643245363257,0.837978278639898,1.86881635634325e-23,0,0.0790451399516314
-3.96147458361149e-05,0.0241901778026408,0.371567185853768,1.39618535687534e-15,1,-5.88277986664658e-05,0.0111203915770743,0.476202351728148,3.68202984495944e-17,1,0.035106384428218
-7.53018189917474e-05,0.0655208053481292,0.793877429188134,1.11907678387663e-19,0,-5.51351179482008e-05,0.0856212784346629,0.565450996770905,1.38238438995723e-18,0,0.412430062657222
-0.000167946797266046,0.0758856152702716,0.635157053948163,3.5737724615139e-21,0,-8.93771048196649e-05,0.0251620617171101,0.425629576244998,9.39444274133274e-17,1,0.661548039643094
-0.000129121826138315,0.120798806603455,0.61207452536931,1.11765240686281e-21,0,-9.29362922043847e-05,0.021826790382996,0.421296465706188,7.95024563474421e-19,1,0.576052178628743
-0.000135301969721755,0.0232152430737359,0.598252886109177,8.01871411022062e-21,1,-8.22069908209809e-06,0.601399232068417,0.247010916922024,5.84739456669269e-11,0,0.474124836502597
-9.67996731114143e-05,0.01393643731437,0.647253902219667,1.336035428633e-21,1,-6.73485387640703e-05,0.0380768634223464,0.510245447339099,6.4419647119871e-20,1,0.634211697615683
-8.93237944539761e-05,0.145658219681719,0.483119348047331,4.01451836259611e-16,0,-8.24018223236551e-05,0.0933262832389362,0.388470852819247,7.43481370349143e-12,0,0.542565119685605
-0.000184020507758815,0.040591839489222,0.743182508451871,9.52323901496206e-22,1,-3.17752079881471e-05,0.0392501680418218,0.509322245133025,1.00895610396744e-16,1,0.600093028973788
-3.99048822704261e-05,0.00363228184031912,0.422499352868742,5.48743462788702e-17,1,-4.76161556490844e-05,0.034603716219951,0.363065385183068,3.71490974617517e-15,1,0.461086039897054
-0.000100566947716355,0.0258896686171575,0.778674182819702,5.78906624952163e-23,1,-0.000126992856221978,0.0463628760070036,0.588079349341917,3.06309404845148e-20,1,0.786271137185395
-6.19626883563537e-05,0.13568812923381,0.339319562126723,1.09361122329294e-09,0,-0.000157892817058412,0.0482164224103052,0.560577965974906,2.83090510783041e-21,1,0.165754629299045
